movieId,title,genres,clean_title,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,Toy Story,1995,G,22 Nov 1995,81 min,"Animation, Adventure, Comedy",John Lasseter,"Joss Whedon, Andrew Stanton, Joel Cohen","Tom Hanks, Tim Allen, Don Rickles","A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",English,United States,Nominated for 3 Oscars. 29 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.3,"1,163,069",tt0114709,movie,N/A,"$229,947,062",N/A,N/A,True,
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,Jumanji,1995,PG,15 Dec 1995,104 min,"Adventure, Comedy, Family",Joe Johnston,"Jonathan Hensleigh, Greg Taylor, Jim Strain","Robin Williams, Kirsten Dunst, Bonnie Hunt",A magic board game summons jungle perils and a missing boy.,"English, French",United States,4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,7.1,"408,456",tt0113497,movie,N/A,"$100,499,940",N/A,N/A,True,
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,Grumpier Old Men,1995,PG-13,22 Dec 1995,101 min,"Comedy, Romance",Howard Deutch,Mark Steven Johnson,"Walter Matthau, Jack Lemmon, Ann-Margret","Just as John Gustafson and Max Goldman resolve to save their beloved bait shop from turning into an Italian restaurant, the establishment's new female owner catches Max's attention and arouses his libido.","English, Italian, German",United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMjc0OWM2YTktZWYyMi00YzU1LTljYmEtYmMyNTRlMWFlMzI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.7,"31,416",tt0113228,movie,N/A,"$71,518,503",N/A,N/A,True,
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,Waiting to Exhale,1995,R,22 Dec 1995,124 min,"Comedy, Drama, Romance",Forest Whitaker,"Terry McMillan, Ron Bass","Whitney Houston, Angela Bassett, Loretta Devine","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",English,United States,9 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BZWU4NzA3MDQtODYyOS00OTliLTk3MGEtYzM2ZjNkZmI5ODk5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.0,"13,103",tt0114885,movie,N/A,"$67,052,156",N/A,N/A,True,
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,Father of the Bride Part II,1995,PG,08 Dec 1995,106 min,"Comedy, Family, Romance",Charles Shyer,"Albert Hackett, Frances Goodrich, Nancy Meyers","Steve Martin, Diane Keaton, Martin Short","George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BOTMwNzE2Y2YtNzZhMy00YTljLWI1MzQtMTI3YjkxYTg2NjRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.1,"44,576",tt0113041,movie,N/A,"$76,594,107",N/A,N/A,True,
6,Heat (1995),Action|Crime|Thriller,Heat,Heat,1995,R,15 Dec 1995,170 min,"Action, Crime, Drama",Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"English, Spanish",United States,15 nominations total,"https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_QL75_UY562_CR6,0,380,562_.jpg","[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,8.3,"800,903",tt0113277,movie,N/A,"$67,436,818",N/A,N/A,True,
7,Sabrina (1995),Comedy|Romance,Sabrina,Sabrina,1954,Approved,15 Oct 1954,113 min,"Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, Samuel A. Taylor, Ernest Lehman","Humphrey Bogart, Audrey Hepburn, William Holden","After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved ...","English, French",United States,Won 1 Oscar. 7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNjQ5MWI5YWYtYzYxNi00ODM4LWI4NzEtNzUzYmVkNzRiYzNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"73,444",tt0047437,movie,N/A,N/A,N/A,N/A,True,
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,Tom and Huck,1995,PG,22 Dec 1995,97 min,"Adventure, Comedy, Drama",Peter Hewitt,"Mark Twain, Stephen Sommers, David Loughery","Jonathan Taylor Thomas, Brad Renfro, Charles Rocket",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,English,United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BOGRlOTlkMDYtYjM4Ny00MGJhLWEyZGItMGYxYzUzNWQ1YWQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",N/A,5.5,"11,969",tt0112302,movie,N/A,"$23,920,048",N/A,N/A,True,
9,Sudden Death (1995),Action,Sudden Death,Sudden Death,1995,R,22 Dec 1995,111 min,"Action, Crime, Thriller",Peter Hyams,"Karen Elise Baldwin, Gene Quintano","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry","Darren McCord, a fire marshal for the Pittsburgh Civic Arena, finds himself in a race against time to save his daughter, the Vice President and a crowded stadium, when terrorists take over an NHL Stanley Cup game.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmUwYmQ1MGYtNDk4MC00YjkyLTg2YTktZmE3NmZkZDY2MGE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",N/A,5.9,"39,371",tt0114576,movie,N/A,"$20,350,171",N/A,N/A,True,
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,GoldenEye,1995,PG-13,17 Nov 1995,130 min,"Action, Adventure, Thriller",Martin Campbell,"Ian Fleming, Michael France, Jeffrey Caine","Pierce Brosnan, Sean Bean, Izabella Scorupco","When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.","English, Russian, Spanish","United Kingdom, United States, Russia",Nominated for 2 BAFTA 2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.2,"281,321",tt0113189,movie,N/A,"$106,429,941",N/A,N/A,True,
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",,,,,,,,,,,,,,,,,,,,,,,,,,
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995,PG-13,22 Dec 1995,88 min,"Comedy, Fantasy, Horror",Mel Brooks,"Mel Brooks, Rudy De Luca, Steve Haberman","Leslie Nielsen, Mel Brooks, Peter MacNicol",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"English, German","France, United States",N/A,https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",N/A,5.9,"48,168",tt0112896,movie,N/A,"$10,772,144",N/A,N/A,True,
13,Balto (1995),Adventure|Animation|Children,Balto,Balto,1995,G,22 Dec 1995,78 min,"Animation, Adventure, Drama",Simon Wells,"Cliff Ruby, Elana Lesser, David Steven Cohen","Kevin Bacon, Bob Hoskins, Bridget Fonda","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}]",N/A,7.1,"51,603",tt0112453,movie,N/A,"$11,348,324",N/A,N/A,True,
